Unnamed: 0,Against,Team,Bowler,Overs,Maidens,Runs,Wickets,Economy,match_id,is_plate,bowling_position
12,UP,ASM,Swarupam Purkayastha,1.0,0,9,0,0,ASMvsUP,False,7
0,BEN,ASM,Mukhtar Hussain,8.0,0,59,0,0,BENvsASM,False,1
1,BEN,ASM,Akash Sengupta,8.0,0,53,2,0,BENvsASM,False,2
2,BEN,ASM,Avinov Choudhury,10.0,0,57,2,0,BENvsASM,False,3
3,BEN,ASM,Abdul Ajij Kuraishi,6.0,0,22,1,0,BENvsASM,False,4
4,BEN,ASM,Rahul Singh,9.0,0,51,2,0,BENvsASM,False,5
5,BEN,ASM,Denish Das,2.0,0,14,0,0,BENvsASM,False,6
6,BEN,ASM,Purkayastha,7.0,0,46,0,0,BENvsASM,False,7
7,ASM,BEN,Mohammed Shami,9.0,0,55,3,0,BENvsASM,False,1
8,ASM,BEN,Akash Deep,8.0,2,22,0,0,BENvsASM,False,2
9,ASM,BEN,Mukesh Kumar,7.0,0,47,1,0,BENvsASM,False,3
10,ASM,BEN,Shahbaz Ahmed,8.0,1,31,1,0,BENvsASM,False,4
11,ASM,BEN,Rohit Das,9.1,0,41,2,0,BENvsASM,False,5
12,ASM,BEN,Karan Lal,1.0,0,9,0,0,BENvsASM,False,6
0,BEN,BRD,Rasikh Salam,7.0,0,37,1,0,BENvsBRD,False,1
1,BEN,BRD,Raj Limbani,10.0,0,65,5,0,BENvsBRD,False,2
2,BEN,BRD,A Sheth,6.0,0,35,0,0,BENvsBRD,False,3
3,BEN,BRD,Krunal Pandya (c),10.0,0,39,3,0,BENvsBRD,False,4
4,BEN,BRD,Aryan Chavda,5.3,0,27,1,0,BENvsBRD,False,5
5,BRD,BEN,Mohammed Shami,9.0,2,42,1,0,BENvsBRD,False,1
6,BRD,BEN,Mukesh Kumar,5.0,0,33,0,0,BENvsBRD,False,2
7,BRD,BEN,Akash Deep,7.5,0,46,1,0,BENvsBRD,False,3
8,BRD,BEN,Aamir Gani,10.0,0,33,2,0,BENvsBRD,False,4
9,BRD,BEN,Shahbaz Ahmed,7.0,0,52,2,0,BENvsBRD,False,5
0,BEN,UP,Kunal Tyagi,6.0,0,55,1,0,BENvsUP,False,1
1,BEN,UP,Karan Chaudhary,7.0,0,41,2,0,BENvsUP,False,2
2,BEN,UP,Prashant Veer,9.0,0,59,1,0,BENvsUP,False,3
3,BEN,UP,Zeeshan Ansari,9.0,0,33,3,0,BENvsUP,False,4
4,BEN,UP,Vipraj Nigam,7.1,0,36,2,0,BENvsUP,False,5
5,BEN,UP,Rinku Singh (c),7.0,0,41,1,0,BENvsUP,False,6
6,UP,BEN,Mohammed Shami,7.0,0,53,1,0,BENvsUP,False,1
7,UP,BEN,Akash Deep,6.0,0,27,1,0,BENvsUP,False,2
8,UP,BEN,Shahbaz Ahmed,7.0,0,49,0,1,BENvsUP,False,3
9,UP,BEN,Ankit Mishra,9.0,0,68,1,1,BENvsUP,False,4
10,UP,BEN,Vishal Sunil Bhati,2.0,0,17,0,0,BENvsUP,False,5
11,UP,BEN,Rohit Das,9.2,1,45,1,2,BENvsUP,False,6
12,UP,BEN,Karan Lal,2.0,0,6,0,0,BENvsUP,False,7
0,BRD,CDG,Jagjit Singh,9.1,0,54,3,1,BRDvsCDG,False,1
1,BRD,CDG,Rohit Dhanda,10.0,0,73,2,0,BRDvsCDG,False,2
2,BRD,CDG,Nishunk Birla,10.0,0,67,1,0,BRDvsCDG,False,3
3,BRD,CDG,Hartejassvi Kapoor,10.0,0,80,2,3,BRDvsCDG,False,4
4,BRD,CDG,Vishu Kashyap,6.0,0,57,1,0,BRDvsCDG,False,5
5,BRD,CDG,Taranpreet Singh,4.0,0,59,1,1,BRDvsCDG,False,6
6,CDG,BRD,Hardik Pandya,10.0,0,66,3,4,BRDvsCDG,False,1
7,CDG,BRD,Rasikh Dar Salam,5.0,0,22,2,3,BRDvsCDG,False,2
8,CDG,BRD,Raj Limbani,5.0,0,31,0,0,BRDvsCDG,False,3
9,CDG,BRD,Krunal Pandya (c),8.0,0,44,1,2,BRDvsCDG,False,4
10,CDG,BRD,Ninad Ashvinkumar Rathva,6.0,0,45,1,2,BRDvsCDG,False,5
11,CDG,BRD,Mahesh Pithiya,6.0,0,34,3,0,BRDvsCDG,False,6
0,BRD,HYD,Chinntla Rakshan Readdi,10.0,0,75,0,0,BRDvsHYD,False,1
1,BRD,HYD,Milind (c),10.0,0,78,2,0,BRDvsHYD,False,2
2,BRD,HYD,T Thyagarajan,8.0,0,71,1,0,BRDvsHYD,False,3
3,BRD,HYD,Arfaz Ahmed Mohammad,8.0,0,70,0,0,BRDvsHYD,False,4
4,BRD,HYD,Nitin Sai Yadav,8.0,0,69,0,0,BRDvsHYD,False,5
5,BRD,HYD,K Nitesh Reddy,4.0,0,38,0,0,BRDvsHYD,False,6
6,BRD,HYD,Aelgani Varun Goud,2.0,0,13,1,0,BRDvsHYD,False,7
7,HYD,BRD,Karan Umatt,10.0,0,84,2,0,BRDvsHYD,False,1
8,HYD,BRD,Atit Sheth,10.0,0,73,3,0,BRDvsHYD,False,2
9,HYD,BRD,Mahesh Pithiya,9.5,0,64,3,0,BRDvsHYD,False,3
10,HYD,BRD,Raj Limbani,10.0,0,96,2,0,BRDvsHYD,False,4
11,HYD,BRD,Krunal Pandya (c),10.0,0,59,0,0,BRDvsHYD,False,5
0,BRD,JK,Auqib Nabi,10.0,1,52,4,0,BRDvsJK,False,1
1,BRD,JK,Yudhvir Singh,10.0,0,56,3,0,BRDvsJK,False,2
2,BRD,JK,Sunil Kumar,10.0,0,67,1,0,BRDvsJK,False,3
3,BRD,JK,Abid Mushtaq,5.0,0,40,0,0,BRDvsJK,False,4
4,BRD,JK,Vanshaj Sharma,10.0,0,74,1,0,BRDvsJK,False,5
5,BRD,JK,Sahil Lotra,5.0,0,34,0,0,BRDvsJK,False,6
6,JK,BRD,Rasikh Dar Salam,5.0,2,15,1,0,BRDvsJK,False,1
7,JK,BRD,Karan Umatt,8.0,0,42,2,0,BRDvsJK,False,2
8,JK,BRD,Atit Sheth,7.3,0,63,2,0,BRDvsJK,False,3
9,JK,BRD,Krunal Pandya (c),9.0,0,45,2,0,BRDvsJK,False,4
10,JK,BRD,Aryan Chavda,8.0,0,55,0,0,BRDvsJK,False,5
11,JK,BRD,Mahesh Pithiya,8.0,0,29,2,0,BRDvsJK,False,6
0,BRD,VID,Praful Hinge,10.0,1,47,1,0,BRDvsVID,False,1
1,BRD,VID,Nachiket Bhute,10.0,0,61,2,2,BRDvsVID,False,2
2,BRD,VID,Harsh Dubey (c),10.0,1,41,0,0,BRDvsVID,False,3
3,BRD,VID,Yash Thakur,10.0,0,64,4,6,BRDvsVID,False,4
4,BRD,VID,Parth Rekhade,10.0,0,80,2,0,BRDvsVID,False,5
5,VID,BRD,Hardik Pandya,2.0,0,15,0,3,BRDvsVID,False,1
6,VID,BRD,Karan Umatt,7.0,0,55,0,1,BRDvsVID,False,2
7,VID,BRD,Atit Sheth,7.0,0,60,0,0,BRDvsVID,False,3
8,VID,BRD,Raj Limbani,9.4,0,78,0,8,BRDvsVID,False,4
9,VID,BRD,Mahesh Pithiya,8.0,0,40,1,0,BRDvsVID,False,5
10,VID,BRD,Krunal Pandya (c),8.0,0,48,0,4,BRDvsVID,False,6
0,CDG,BEN,Shami,9.2,1,69,3,3,CDGvsBEN,False,1
1,CDG,BEN,Akash Deep,9.0,0,56,0,4,CDGvsBEN,False,2
2,CDG,BEN,Mukesh Kumar,10.0,0,59,5,5,CDGvsBEN,False,3
3,CDG,BEN,Shahbaz Ahmed,9.0,0,51,2,0,CDGvsBEN,False,4
4,CDG,BEN,Karan Lal,8.0,0,53,0,1,CDGvsBEN,False,5
5,CDG,BEN,Vishal Bhati,3.0,0,20,0,0,CDGvsBEN,False,6
6,BEN,CDG,Jagjit Singh,8.0,0,76,1,2,CDGvsBEN,False,1
7,BEN,CDG,Rohit Dhanda,10.0,1,66,1,1,CDGvsBEN,False,2
8,BEN,CDG,Hartejassvi Kapoor,9.0,0,71,0,3,CDGvsBEN,False,3
9,BEN,CDG,Nishunk Birla,10.0,0,50,1,1,CDGvsBEN,False,4
10,BEN,CDG,Arslan Khan,7.0,0,38,0,0,CDGvsBEN,False,5
11,BEN,CDG,Taranpreet Singh,3.4,0,15,1,0,CDGvsBEN,False,6
0,CDG,JK,Auqib Nabi,8.0,1,26,2,1,CDGvsJK,False,1
1,CDG,JK,Yudhvir Singh,7.0,0,49,0,1,CDGvsJK,False,2
2,CDG,JK,Nasir Lone,9.0,1,44,4,1,CDGvsJK,False,3
3,CDG,JK,M Ashwin,9.0,0,57,1,1,CDGvsJK,False,4
4,CDG,JK,Abid Mushtaq,6.5,1,25,2,0,CDGvsJK,False,5
5,JK,CDG,Sandeep Sharma,6.0,0,37,0,1,CDGvsJK,False,1
6,JK,CDG,Jagjit Singh,6.0,0,47,0,1,CDGvsJK,False,2
7,JK,CDG,Rohit Dhanda,6.0,0,36,0,0,CDGvsJK,False,3
8,JK,CDG,Nishunk Birla,10.0,0,32,0,0,CDGvsJK,False,4
9,JK,CDG,Taranpreet Singh,4.0,1,24,0,0,CDGvsJK,False,5
10,JK,CDG,Vishu Kashyap,5.0,0,32,0,1,CDGvsJK,False,6
0,CDG,VID,Darshan Nalkande,6.1,0,33,4,1,CDGvsVID,False,1
1,CDG,VID,Nachiket Bhute,7.0,1,18,2,1,CDGvsVID,False,2
2,CDG,VID,Yash Kadam,6.0,0,23,1,0,CDGvsVID,False,3
3,CDG,VID,Dipesh Parwani,5.0,0,22,2,1,CDGvsVID,False,4
4,CDG,VID,Harsh Dubey (c),5.0,0,12,0,0,CDGvsVID,False,5
5,VID,CDG,Sandeep Sharma,4.0,0,16,1,0,CDGvsVID,False,1
6,VID,CDG,Jagjit Singh,6.0,0,24,0,1,CDGvsVID,False,2
7,VID,CDG,Rohit Dhanda,6.0,0,35,1,1,CDGvsVID,False,3
8,VID,CDG,Nishunk Birla,4.0,0,19,0,1,CDGvsVID,False,4
9,VID,CDG,Taranpreet Singh,1.3,0,11,0,0,CDGvsVID,False,5
10,VID,CDG,Arslan Khan,1.0,0,8,0,0,CDGvsVID,False,6
0,CG,GOA,V Koushik,9.5,0,40,4,0,CGvsGOA,False,1
1,CG,GOA,Samit Mishra,9.0,1,42,1,0,CGvsGOA,False,2
2,CG,GOA,Deepraj Gaonkar (c),10.0,0,35,4,0,CGvsGOA,False,3
3,CG,GOA,Lalit Yadav,6.0,0,39,0,0,CGvsGOA,False,4
4,CG,GOA,Darshan Misal,8.0,0,39,1,0,CGvsGOA,False,5
5,CG,GOA,Vikash Kanwar,6.0,0,36,0,0,CGvsGOA,False,6
6,GOA,CG,Ravi Kiran,9.0,1,34,0,0,CGvsGOA,False,1
7,GOA,CG,Sourabh Majumdar,7.0,1,19,0,0,CGvsGOA,False,2
8,GOA,CG,Mayank Yadav,6.0,0,46,0,0,CGvsGOA,False,3
9,GOA,CG,Ajay Jadav Mandal,9.0,0,40,1,0,CGvsGOA,False,4
10,GOA,CG,Shubham Agarwal,10.0,0,73,3,0,CGvsGOA,False,5
11,GOA,CG,Vikalp Tiwari,3.0,0,18,0,0,CGvsGOA,False,6
12,GOA,CG,Sanjeet Desai,0.1,0,1,0,0,CGvsGOA,False,7
0,CG,MAH,Pradeep Dadhe,5.0,0,25,3,0,CGvsMAH,False,1
1,CG,MAH,Ramakrishna Ghosh,3.0,0,23,0,0,CGvsMAH,False,2
2,CG,MAH,Rajvardhan Hangargekar,4.0,0,22,1,0,CGvsMAH,False,3
3,CG,MAH,Vicky Ostwal,7.0,0,33,3,0,CGvsMAH,False,4
4,CG,MAH,Satyajeet Bachhav,5.0,0,33,1,0,CGvsMAH,False,5
5,CG,MAH,Siddhesh Veer,5.0,0,25,0,0,CGvsMAH,False,6
6,MAH,CG,Ravi Kiran,6.0,0,30,3,0,CGvsMAH,False,1
7,MAH,CG,Dev Aditya Singh,5.0,0,18,0,0,CGvsMAH,False,2
8,MAH,CG,Mohit Raut,6.0,0,32,1,0,CGvsMAH,False,3
9,MAH,CG,Vashudev Bareth,3.0,0,30,0,0,CGvsMAH,False,4
10,MAH,CG,Ajay Jadav Mandal,7.0,0,30,2,0,CGvsMAH,False,5
11,MAH,CG,Vikalp Tiwari,4.0,0,19,1,0,CGvsMAH,False,6
0,CG,MUM,Thakur (c),5.0,1,13,4,0,CGvsMUM,False,1
1,CG,MUM,Tushar Deshpande,4.0,0,19,0,0,CGvsMUM,False,2
2,CG,MUM,Tanush Kotian,10.0,1,34,0,0,CGvsMUM,False,3
3,CG,MUM,Onkar Tarmale,5.0,1,26,0,0,CGvsMUM,False,4
4,CG,MUM,Shams Mulani,9.1,1,31,5,0,CGvsMUM,False,5
5,CG,MUM,Musheer Khan,5.0,0,15,1,0,CGvsMUM,False,6
6,MUM,CG,Ravi Kiran,5.0,0,18,0,0,CGvsMUM,False,1
7,MUM,CG,Aditya Sarwate,5.0,0,25,0,0,CGvsMUM,False,2
8,MUM,CG,Sourabh Majumdar,5.0,0,18,0,0,CGvsMUM,False,3
9,MUM,CG,Harsh Yadav,4.0,1,44,1,0,CGvsMUM,False,4
10,MUM,CG,Ajay Jadav Mandal,3.0,0,20,0,0,CGvsMUM,False,5
11,MUM,CG,Mohit Raut,2.0,0,12,0,0,CGvsMUM,False,6
0,CG,PUN,Gurnoor Brar,10.0,1,57,1,0,CGvsPUN,False,1
1,CG,PUN,Sukhdeep Bajwa,7.4,0,43,2,0,CGvsPUN,False,2
2,CG,PUN,Krish Bhagat,8.0,0,33,3,0,CGvsPUN,False,3
3,CG,PUN,Ramandeep Singh,3.0,0,14,0,0,CGvsPUN,False,4
4,CG,PUN,Harpreet Brar,10.0,0,56,0,0,CGvsPUN,False,5
5,CG,PUN,Raghu Sharma,10.0,0,45,2,0,CGvsPUN,False,6
6,PUN,CG,Ravi Kiran,8.0,1,30,0,0,CGvsPUN,False,1
7,PUN,CG,Sourabh Majumdar,8.0,0,48,0,0,CGvsPUN,False,2
8,PUN,CG,Harsh Yadav,5.0,0,41,0,0,CGvsPUN,False,3
9,PUN,CG,Mohit Raut,9.0,0,41,1,0,CGvsPUN,False,4
10,PUN,CG,Vikalp Tiwari,4.0,0,25,0,0,CGvsPUN,False,5
11,PUN,CG,Shubham Agarwal,7.0,0,57,0,0,CGvsPUN,False,6
12,PUN,CG,Aayush Pandey,1.0,0,8,0,0,CGvsPUN,False,7
13,PUN,CG,Sanjeet Desai,0.1,0,4,0,0,CGvsPUN,False,8
0,CG,SKM,Palzor Tamang,10.0,2,77,0,0,CGvsSKM,False,1
1,CG,SKM,Kranthi Kumar,8.0,0,70,0,3,CGvsSKM,False,2
2,CG,SKM,Lee Yong Lepcha (c),6.0,0,50,0,1,CGvsSKM,False,3
3,CG,SKM,Abishek Kumar,10.0,0,45,1,1,CGvsSKM,False,4
4,CG,SKM,Gurinder Singh,7.0,0,55,0,1,CGvsSKM,False,5
5,CG,SKM,Md Saptulla,4.0,0,24,1,0,CGvsSKM,False,6
6,CG,SKM,Ankur Malik,5.0,0,34,1,0,CGvsSKM,False,7
7,SKM,CG,Dev Aditya Singh,8.0,0,25,4,0,CGvsSKM,False,1
8,SKM,CG,Harsh Yadav,5.0,1,11,1,0,CGvsSKM,False,2
9,SKM,CG,Sourabh Majumdar,5.0,1,23,0,0,CGvsSKM,False,3
10,SKM,CG,Aditya Sarwate,7.0,0,21,0,0,CGvsSKM,False,4
11,SKM,CG,Ajay Jadav Mandal,7.0,0,40,4,0,CGvsSKM,False,5
12,SKM,CG,Vikalp Tiwari,2.0,0,5,1,0,CGvsSKM,False,6
0,CG,UTK,Abhay Negi,10.0,2,41,2,0,CGvsUTK,False,1
1,CG,UTK,Devendra Singh Bora,9.0,0,55,3,0,CGvsUTK,False,2
2,CG,UTK,Shashwat Dangwal,4.0,0,21,0,0,CGvsUTK,False,3
3,CG,UTK,Mayank Mishra,10.0,0,48,2,0,CGvsUTK,False,4
4,CG,UTK,Agnivesh Ayachi,6.0,0,31,2,0,CGvsUTK,False,5
5,CG,UTK,Jagadeesha Suchith,6.0,0,37,1,0,CGvsUTK,False,6
6,CG,UTK,Harshit Paliwal,5.0,0,28,0,0,CGvsUTK,False,7
7,UTK,CG,Dev Aditya Singh,10.0,1,33,4,0,CGvsUTK,False,1
8,UTK,CG,Sourabh Majumdar,10.0,1,46,1,0,CGvsUTK,False,2
9,UTK,CG,Vashudev Bareth,9.0,0,62,1,0,CGvsUTK,False,3
10,UTK,CG,Prateek Yadav,3.0,0,19,0,0,CGvsUTK,False,4
11,UTK,CG,Ajay Jadav Mandal,10.0,0,46,2,0,CGvsUTK,False,5
12,UTK,CG,Vikalp Tiwari,8.0,0,50,0,0,CGvsUTK,False,6
0,DEL,GUJ,Nagwaswalla,10.0,1,56,1,4,DELvsGUJ,False,1
1,DEL,GUJ,Chintan Gaja (c),10.0,1,47,1,0,DELvsGUJ,False,2
2,DEL,GUJ,Ravi Bishnoi,10.0,0,50,2,0,DELvsGUJ,False,3
3,DEL,GUJ,Vishal Jayswal,10.0,0,42,4,0,DELvsGUJ,False,4
4,DEL,GUJ,Amit Desai,10.0,0,59,0,2,DELvsGUJ,False,5
5,GUJ,DEL,Ishant Sharma,6.0,0,28,2,1,DELvsGUJ,False,1
6,GUJ,DEL,Navdeep Saini,7.0,0,34,1,4,DELvsGUJ,False,2
7,GUJ,DEL,Simarjeet Singh,8.0,0,53,1,3,DELvsGUJ,False,3
8,GUJ,DEL,Prince Yadav,8.4,1,37,3,2,DELvsGUJ,False,4
9,GUJ,DEL,Nitish Rana,3.0,0,17,0,0,DELvsGUJ,False,5
10,GUJ,DEL,Ayush Badoni,5.0,0,21,0,0,DELvsGUJ,False,6
11,GUJ,DEL,Arpit Rana,5.0,0,39,2,0,DELvsGUJ,False,7
12,GUJ,DEL,Harsh Tyagi,5.0,1,13,0,0,DELvsGUJ,False,8
0,GOA,HP,Vaibhav Arora,9.0,0,53,1,0,GOAvsHP,False,1
1,GOA,HP,Rohit Kumar,10.0,0,55,5,0,GOAvsHP,False,2
2,GOA,HP,Aryaman Singh Dhaliwal,10.0,0,53,0,0,GOAvsHP,False,3
3,GOA,HP,Akash Vasisht,8.0,0,42,0,0,GOAvsHP,False,4
4,GOA,HP,Nitin Sharma,2.0,0,16,0,0,GOAvsHP,False,5
5,GOA,HP,Mridul Surroch (c),10.0,0,50,2,0,GOAvsHP,False,6
6,GOA,HP,Amanpreet Singh,1.0,0,14,0,0,GOAvsHP,False,7
7,HP,GOA,Vasuki Koushik,9.3,1,34,2,0,GOAvsHP,False,1
8,HP,GOA,Arjun Tendulkar,6.0,0,58,0,0,GOAvsHP,False,2
9,HP,GOA,Deepraj Gaonkar (c),10.0,0,50,5,0,GOAvsHP,False,3
10,HP,GOA,Shubham Desai,8.0,0,47,1,0,GOAvsHP,False,4
11,HP,GOA,Darshan Misal,6.0,0,41,1,0,GOAvsHP,False,5
12,HP,GOA,Lalit Yadav,10.0,0,43,0,0,GOAvsHP,False,6
0,GOA,PUN,Arshdeep Singh,6.0,0,26,2,0,GOAvsPUN,False,1
1,GOA,PUN,Sukhdeep Bajwa,4.0,0,32,2,0,GOAvsPUN,False,2
2,GOA,PUN,Gurnoor Brar,5.0,0,46,0,0,GOAvsPUN,False,3
3,GOA,PUN,Krish Bhagat,4.3,0,33,2,0,GOAvsPUN,False,4
4,GOA,PUN,Markande,8.0,0,29,3,0,GOAvsPUN,False,5
5,GOA,PUN,Naman Dhir,6.0,1,37,1,0,GOAvsPUN,False,6
6,PUN,GOA,Vasuki Koushik,8.0,0,22,2,0,GOAvsPUN,False,1
7,PUN,GOA,Arjun Tendulkar,6.0,0,48,0,0,GOAvsPUN,False,2
8,PUN,GOA,Shubham Tari,6.0,0,49,1,0,GOAvsPUN,False,3
9,PUN,GOA,Lalit Yadav,5.0,0,34,1,0,GOAvsPUN,False,4
10,PUN,GOA,Deepraj Gaonkar (c),6.0,0,23,0,0,GOAvsPUN,False,5
11,PUN,GOA,Vikash Kanwar Singh,4.0,0,34,0,0,GOAvsPUN,False,6
0,GOA,SKM,Palzor Tamang,10.0,0,61,2,0,GOAvsSKM,False,1
1,GOA,SKM,Kranthi Kumar,10.0,0,51,1,0,GOAvsSKM,False,2
2,GOA,SKM,Gurinder Singh,9.0,1,51,2,0,GOAvsSKM,False,3
3,GOA,SKM,Abishek Kumar,9.0,1,55,1,0,GOAvsSKM,False,4
4,GOA,SKM,Lee Yong Lepcha (c),6.0,0,46,0,0,GOAvsSKM,False,5
5,GOA,SKM,Ankur Malik,2.0,0,16,0,0,GOAvsSKM,False,6
6,GOA,SKM,Md Saptulla,4.0,0,23,1,0,GOAvsSKM,False,7
7,SKM,GOA,Arjun Tendulkar,9.0,2,49,0,0,GOAvsSKM,False,1
8,SKM,GOA,Vasuki Koushik,10.0,3,34,3,0,GOAvsSKM,False,2
9,SKM,GOA,Deepraj Gaonkar (c),7.0,0,29,0,0,GOAvsSKM,False,3
10,SKM,GOA,Shubham Desai,4.0,0,25,0,0,GOAvsSKM,False,4
11,SKM,GOA,Darshan Misal,10.0,0,63,1,0,GOAvsSKM,False,5
12,SKM,GOA,Lalit Yadav,10.0,0,45,1,0,GOAvsSKM,False,6
0,GOA,UTK,Devendra Singh Bora,8.1,1,41,1,0,GOAvsUTK,False,1
1,GOA,UTK,Abhay Negi,10.0,0,50,3,0,GOAvsUTK,False,2
2,GOA,UTK,Agnivesh Ayachi,8.0,0,54,0,0,GOAvsUTK,False,3
3,GOA,UTK,Mayank Mishra,10.0,0,41,1,0,GOAvsUTK,False,4
4,GOA,UTK,J Suchith,10.0,0,54,3,0,GOAvsUTK,False,5
5,GOA,UTK,Shashwat Dangwal,3.0,0,23,0,0,GOAvsUTK,False,6
6,UTK,GOA,Vasuki Koushik,8.0,0,28,1,0,GOAvsUTK,False,1
7,UTK,GOA,Arjun Tendulkar,8.0,0,54,0,0,GOAvsUTK,False,2
8,UTK,GOA,Deepraj Gaonkar (c),9.0,0,57,0,0,GOAvsUTK,False,3
