Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
2,ASM,Sumit Ghadigaonkar (c & wk),c Priyanshu Moliya b Aryan Chavda,55,53,9,0,103.77,ASMvsBRD,False,caught,3
3,ASM,Denish Das,c Shivalik Sharma b Raj Limbani,13,15,1,0,86.67,ASMvsBRD,False,caught,4
4,ASM,Nihar Deka,c Shivalik Sharma b Raj Limbani,23,24,2,0,95.83,ASMvsBRD,False,caught,5
5,ASM,Sibsankar Roy,c Priyanshu Moliya b A Sheth,55,43,4,1,127.91,ASMvsBRD,False,caught,6
6,ASM,Akash Sengupta,b Aryan Chavda,22,35,2,0,62.86,ASMvsBRD,False,bowled,7
7,ASM,Ayushman Malakar,c and b A Sheth,13,22,1,0,59.09,ASMvsBRD,False,caught,8
8,ASM,Mukhtar Hussain,b A Sheth,0,2,0,0,0.0,ASMvsBRD,False,bowled,9
9,ASM,Avinov Choudhury,c V Solanki b A Sheth,3,6,0,0,50.0,ASMvsBRD,False,caught,10
10,ASM,Bhargab Lahkar,not out,1,1,0,0,100.0,ASMvsBRD,False,not out,11
11,BRD,Amit Pasi (wk),c Bhargab Lahkar b Ayushman Malakar,11,5,1,1,220.0,ASMvsBRD,False,caught,1
12,BRD,Shashwat Rawat,lbw b Bhargab Lahkar,32,58,2,0,55.17,ASMvsBRD,False,lbw,2
13,BRD,Priyanshu Moliya,lbw b Purkayastha,72,87,9,0,82.76,ASMvsBRD,False,lbw,3
14,BRD,Krunal Pandya (c),c Denish Das b Purkayastha,2,3,0,0,66.67,ASMvsBRD,False,caught,4
15,BRD,Shivalik Sharma,c Ayushman Malakar b Purkayastha,32,36,2,0,88.89,ASMvsBRD,False,caught,5
16,BRD,Vishnu Solanki,not out,88,62,10,2,141.94,ASMvsBRD,False,not out,6
17,BRD,Bhanu Pania,not out,43,36,3,1,119.44,ASMvsBRD,False,not out,7
0,ASM,Pradyun Saikia,b Rohit Dhanda,11,12,2,0,91.67,ASMvsCDG,False,bowled,1
1,ASM,Saurav Dihingia,b Rohit Dhanda,61,92,6,0,66.3,ASMvsCDG,False,bowled,2
2,ASM,Sumit Ghadigaonkar (c & wk),c Vishu Kashyap b Nishunk Birla,51,50,6,1,102.0,ASMvsCDG,False,caught,3
3,ASM,Sibsankar Roy,not out,106,94,9,0,112.77,ASMvsCDG,False,not out,4
4,ASM,Denish Das,c Arjun Azad b Vishu Kashyap,14,21,1,0,66.67,ASMvsCDG,False,caught,5
5,ASM,Purkayastha,c Tushar Joshi b Nishunk Birla,11,13,2,0,84.62,ASMvsCDG,False,caught,6
6,ASM,Abdul Ajij Kuraishi,c and b Nishunk Birla,1,4,0,0,25.0,ASMvsCDG,False,caught,7
7,ASM,Akash Sengupta,run out (Jagjit Singh),20,13,2,0,153.85,ASMvsCDG,False,run out,8
8,ASM,Mukhtar Hussain,not out,1,1,0,0,100.0,ASMvsCDG,False,not out,9
9,CDG,Manan Vohra (c),lbw b Purkayastha,102,120,11,0,85.0,ASMvsCDG,False,lbw,1
10,CDG,Arjun Azad,c (sub)Ruhinandan Pegu b Akash Sengupta,140,116,18,3,120.69,ASMvsCDG,False,caught,2
11,CDG,Shivam Bhambri,not out,25,31,2,1,80.65,ASMvsCDG,False,not out,3
12,CDG,Sanyam Saini,b Denish Das,7,15,0,0,46.67,ASMvsCDG,False,bowled,4
13,CDG,Tushar Joshi (wk),not out,2,2,0,0,100.0,ASMvsCDG,False,not out,5
0,ASM,Pradyun Saikia,c Dhruv Jurel b Kunal Tyagi,13,23,1,0,56.52,ASMvsUP,False,caught,1
1,ASM,Saurav Dihingia,c Vipraj Nigam b Karan Chaudhary,15,22,2,0,68.18,ASMvsUP,False,caught,2
2,ASM,Sumit Ghadigaonkar (c & wk),c Sameer Rizvi b Vipraj Nigam,101,86,12,3,117.44,ASMvsUP,False,caught,3
3,ASM,Sibsankar Roy,c Dhruv Jurel b Zeeshan Ansari,82,83,11,0,98.8,ASMvsUP,False,caught,4
4,ASM,Denish Das,c Prashant Veer b Zeeshan Ansari,14,13,2,0,107.69,ASMvsUP,False,caught,5
